"id","created_at","respondent_id","age","gender","income","location","fast.food.frequency","education","brand.recall","brand.recognition","price.guess","dce","past.use","vigniette"
21,"2025-07-20 16:01:00.929087+00",707,25,"kobieta","2500-5000","miasto-150-500","rzadziej-niz-raz-w-miesiacu","wyzsze","[""McDonald, KFC, burger King, Subway, pizza hut, Dominos pizza, Starbucks, wendy's, taco Bell, dunkin', north fish""]","[""KFC "",""Nie wiem "",""McDonald "",""Subway "",""Nie wiem "",""Nie wiem "",""Nie wiem "",""Nie wiem ""]","[""20"",""25"",""26""]","[""2"",""1"",""1"",""2"",""1"",""1""]","[""mcdonalds"",""kfc"",""subway""]","read"
23,"2025-07-20 17:59:49.324598+00",961,25,"kobieta","1000-2500","miasto-150-500","raz-w-miesiacu","wyzsze","[""McDonald's, KFC, Burger King, Wendy's""]","[""KFC"",""Burger King "",""McDonald's "",""Subway "",""Taco Bell"",""Wendy's"",""Max Burgers "",""nie wiem""]","[""22"",""24"",""25""]","[""4"",""4"",""4"",""4"",""4"",""4""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""north fish""]","read"
24,"2025-07-20 18:11:20.176119+00",726,52,"mezczyzna","7500-10000","miasto-500","raz-w-miesiacu","wyzsze","[""Mcdonalds"",""KFC"",""Pizzahut"",""BurgerKing""]","[""Kfc"",""Burger king"",""Mcdonalds"",""Subway"",""Tacobell"",""Nie wiem"",""Maxburger"",""Nie wiem""]","[""25"",""25"",""30""]","[""2"",""1"",""1"",""2"",""1"",""3""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers""]","read"
25,"2025-07-20 18:18:49.830251+00",633,24,"mezczyzna","5000-7500","miasto-500","czesciej-niz-raz-w-tygodniu","w-trakcie-studiow","[""Macdonald"",""Kfc"",""Burger King"",""Pizza hut"",""Wendys"",""Poppeys"",""Tacobell""]","[""Kfc"",""Burger King "",""Macdonald "",""Subway"",""Tacobell"",""Wyndys"",""Maxburgers"",""Poppeys""]","[""24"",""25"",""35""]","[""2"",""2"",""1"",""2"",""1"",""1""]","[""mcdonalds"",""burger king"",""wendys"",""kfc"",""subway"",""max burgers"",""north fish"",""popeyes"",""five guys""]","read"
27,"2025-07-20 18:27:19.479859+00",673,49,"kobieta","7500-10000","wies","raz-w-miesiacu","wyzsze","[""KFC, MC Donalds, Burger King, Max Burgers, Nord Fish, Taco Bell, Pizza Hut, Do""]","[""Kfc"",""Burger King"",""Mc Donalds"",""Subway"",""Taco Bell"",""Nie wiem"",""Max Burger"",""Nie wiem""]","[""25"",""25"",""36""]","[""2"",""2"",""1"",""3"",""2"",""4""]","[""mcdonalds"",""burger king"",""kfc"",""max burgers"",""north fish""]","read"
28,"2025-07-20 19:56:58.250433+00",759,30,"kobieta","2500-5000","miast-50","raz-w-tygodniu","wyzsze","[""McDonald's, KFC, Burger King,""]","[""KFC"",""Nie wiem "",""McDonald's"",""Subway"",""Nie wiem"",""Nie wiem"",""Maxi king"",""Louisiana kitchen""]","[""18.00"",""17"",""22""]","[""2"",""2"",""3"",""3"",""1"",""3""]","[""mcdonalds"",""kfc"",""subway"",""max burgers"",""burger king""]","read"
30,"2025-07-20 20:47:38.595769+00",643,25,"kobieta","2500-5000","miasto-500","rzadziej-niz-raz-w-miesiacu","wyzsze","[""mcdonalds"",""kfc"",""burger king"",""popeyes"",""Wendy's"",""Max Burger""]","[""kfc"",""burger king"",""mcdonalds"",""subway"",""nie wiem"",""wendy's"",""max burgers"",""popeyes""]","[""18"",""26"",""29""]","[""1"",""2"",""1"",""1"",""3"",""2""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""north fish""]","read"
32,"2025-07-20 23:27:59.245378+00",920,23,"kobieta","2500-5000","wies","raz-w-miesiacu","w-trakcie-studiow","[""Kfc"",""McDonald’s"",""Burger King"",""Max burger""]","[""Kfc"",""Burger King "",""McDonald’s "",""Subway "",""Nie wiem "",""Nie wiem "",""Max burger "",""Nie wiem ""]","[""13"",""15"",""20""]","[""1"",""3"",""3"",""3"",""4"",""2""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""north fish""]","read"
33,"2025-07-21 12:49:44.947463+00",565,24,"kobieta","5000-7500","miasto-150-500","raz-w-miesiacu","srednie","[""McDonalds, KFC, BurgerKing""]","[""KFC"",""Nie wiem"",""McDonalds"",""Subway"",""Nie wiem"",""Nie wiem"",""Nie wiem"",""Nie wiem""]","[""19"",""28"",""33""]","[""1"",""3"",""2"",""1"",""3"",""3""]","[""mcdonalds"",""burger king"",""kfc"",""subway""]","read"
35,"2025-07-21 15:13:28.786249+00",706,19,"kobieta","1000-2500","wies","rzadziej-niz-raz-w-miesiacu","w-trakcie-studiow","[""Macdonald, KFC, subway,""]","[""KFC "",""Burger King "",""Macdonald "",""Subway "",""Taco bell"",""Wendys"",""Max burget"",""Nie wiem ""]","[""19"",""22"",""29""]","[""4"",""4"",""4"",""4"",""4"",""4""]","[""mcdonalds"",""kfc"",""subway""]","read"
37,"2025-07-21 18:03:00.911237+00",616,22,"mezczyzna","1000-2500","miast-50","raz-w-miesiacu","srednie","[""mcdonalds"",""burgerking"",""kfc"",""subway"",""popeyes"",""pasibus""]","[""kfc"",""burger king"",""mcdonalds"",""subway"",""taco bell"",""nie wiem"",""nie wiem"",""popeyes""]","[""12"",""17"",""27""]","[""2"",""4"",""3"",""2"",""3"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""popeyes""]","read"
38,"2025-07-21 18:19:18.416652+00",724,26,"kobieta","7500-10000","miasto-50-150","raz-w-miesiacu","wyzsze","[""McDonalds"",""KFC"",""Wendy's"",""Five Guys"",""Popeyes"",""Burger King"",""Papa Johns"",""PizzaHut"",""Starbucks"",""Subway"",""Domino's""]","[""KFC"",""Burger King"",""McDonalds"",""Subway"",""TacoBell"",""Wendy's"",""Max Burgers"",""Popeyes""]","[""34"",""18"",""27""]","[""4"",""2"",""1"",""3"",""4"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""north fish"",""popeyes""]","read"
39,"2025-07-21 18:58:07.804828+00",509,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie","[""Mc Donald's"",""KFC"",""Wendy's"",""Pizza Hut"",""Domino's Pizza"",""Burger King""]","[""KFC"",""Burger King"",""Mc Donald's"",""Subway"",""Taco Bell"",""Wendy's"",""Max Burger"",""Popeyos""]","[""16"",""22"",""25""]","[""3"",""3"",""2"",""2"",""3"",""3""]","[""mcdonalds"",""burger king"",""kfc"",""popeyes""]","read"
40,"2025-07-21 19:31:36.088536+00",914,25,"kobieta","5000-7500","miasto-500","rzadziej-niz-raz-w-miesiacu","wyzsze","[""McDonalds"",""KFC"",""Burger King"",""Wendy's"",""Pizza Hut"",""MAX"",""Popeyes"",""Taco Bell"",""Five Guys""]","[""KFC"",""Burger King"",""McDonald's"",""Subway"",""Taco Bell"",""Wendy's"",""Max Burgers"",""Popeyes""]","[""23"",""17"",""32""]","[""3"",""2"",""2"",""3"",""1"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""north fish"",""popeyes"",""five guys""]","read"
41,"2025-07-21 21:38:55.786411+00",536,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow","[""McDonald's"",""KFC"",""Max Premium Burgers"",""Subway"",""Wendy's"",""Chipotle"",""Popeye's"",""Burger King"",""In-N-Out"",""Wing-stop"",""Five Guys""]","[""KFC"",""Burger King"",""McDonald's"",""Subway"",""Taco Bell"",""Wendy's"",""Max Premium Burgers"",""Popeye's""]","[""22"",""19"",""28""]","[""1"",""3"",""2"",""3"",""3"",""3""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""five guys""]","read"
42,"2025-07-21 22:00:36.408575+00",639,33,"kobieta","7500-10000","miasto-500","raz-w-tygodniu","wyzsze","[""McDonald's"",""KFC"",""Pizza Hut"",""Burger King""]","[""KFC"",""Burger King"",""McDonald's"",""Subway"",""Nie wiem"",""Wendy's"",""Max Burger "",""Nie wiem ""]","[""25"",""25"",""35""]","[""1"",""1"",""4"",""4"",""1"",""4""]","[""mcdonalds"",""burger king"",""kfc"",""subway""]","read"
43,"2025-07-21 22:21:09.750825+00",797,38,"kobieta","2500-5000","miasto-50-150","raz-w-tygodniu","wyzsze","[""McDonald's, KFC, Subway, Pizza Hut""]","[""KFC"",""Burger King"",""McDonald's "",""Subway"",""Nie wiem"",""Nie wiem"",""Nie wiem"",""Nie wiem ""]","[""22"",""25"",""32""]","[""2"",""4"",""3"",""4"",""3"",""4""]","[""mcdonalds"",""burger king"",""kfc"",""subway""]","read"
44,"2025-07-22 02:01:09.021167+00",808,18,"kobieta","ponizej-1000","miasto-150-500","raz-w-tygodniu","podstawowe","[""Mc, kfc, burger king, poppeyes, wendy’s, canes""]","[""kfc "",""burger king"",""mcdonald’s"",""subway "",""taco bell"",""wendy’s"",""burger max "",""popeyes ""]","[""22"",""22"",""32""]","[""2"",""1"",""2"",""3"",""4"",""3""]","[""mcdonalds"",""burger king"",""kfc""]","read"
45,"2025-07-22 11:18:48.780917+00",811,24,"mezczyzna","2500-5000","miasto-500","raz-w-tygodniu","wyzsze","[""mcdonald, kfc, popyes, burger king, kebab king, subway""]","[""kfc"",""burgerking"",""mcdonald"",""subway"",""taco bell"",""wendys"",""max burger"",""popyes""]","[""15"",""25"",""25""]","[""1"",""3"",""3"",""2"",""3"",""2""]","[""mcdonalds"",""burger king"",""wendys"",""kfc"",""subway"",""max burgers"",""popeyes""]","read"
47,"2025-07-22 12:07:12.77494+00",836,44,"kobieta","powyzej-10000","miasto-500","rzadziej-niz-raz-w-miesiacu","wyzsze","[""McDonalds, KFC"",""kfc"",""mcdonalds""]","[""kfc"",""nie wiem"",""mcdonalnds"",""nie wiem"",""nie wiem"",""nie wiem"",""nie wiem"",""nie wiem""]","[""15"",""18"",""24""]","[""4"",""4"",""4"",""4"",""4"",""4""]","[""mcdonalds""]","read"
51,"2025-07-22 15:39:59.661226+00",558,21,"kobieta","ponizej-1000","miasto-150-500","raz-w-tygodniu","w-trakcie-studiow","[""McDonalds"",""KFC"",""Burger King"",""Subways"",""North Fish"",""Wendys"",""Max Burgers"",""Chipotle"",""Taco Bell""]","[""kfc"",""burger king"",""mcdonalds"",""subway"",""taco bell"",""wendys"",""max burgers"",""nie wiem""]","[""18"",""15"",""25""]","[""4"",""4"",""4"",""4"",""4"",""4""]","[""mcdonalds"",""burger king"",""kfc"",""max burgers""]","read"
