"id","profileID","respID","qID","altID","obsID","gram","kcal","price","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","no_choice","choice"
"30",1275,1,8,2,8,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"31",1884,1,8,3,8,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"32",0,1,8,4,8,0,0,0,0,0,0,0,0,0,0,0,1,1
"33",1226,1,9,1,9,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"34",1884,1,9,2,9,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"35",428,1,9,3,9,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"36",0,1,9,4,9,0,0,0,0,0,0,0,0,0,0,0,1,1
"37",1275,1,10,1,10,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"38",12,1,10,2,10,180,570,12,1,0,0,0,0,0,0,1,0,0
"39",1697,1,10,3,10,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"40",0,1,10,4,10,0,0,0,0,0,0,0,0,0,0,0,1,1
"41",2622,2,1,1,11,405,1080,40,0,0,0,1,0,1,0,0,0,0
"42",1226,2,1,2,11,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"43",206,2,1,3,11,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"44",0,2,1,4,11,0,0,0,0,0,0,0,0,0,0,0,1,1
"45",477,2,2,1,12,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"46",206,2,2,2,12,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"47",1226,2,2,3,12,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"48",0,2,2,4,12,0,0,0,0,0,0,0,0,0,0,0,1,1
"49",1884,2,3,1,13,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"50",2622,2,3,2,13,405,1080,40,0,0,0,1,0,1,0,0,0,0
"51",183,2,3,3,13,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"52",0,2,3,4,13,0,0,0,0,0,0,0,0,0,0,0,1,1
"53",183,2,4,1,14,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"54",428,2,4,2,14,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"55",1275,2,4,3,14,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"56",0,2,4,4,14,0,0,0,0,0,0,0,0,0,0,0,1,1
"57",428,2,5,1,15,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"58",477,2,5,2,15,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"59",2622,2,5,3,15,405,1080,40,0,0,0,1,0,1,0,0,0,0
"60",0,2,5,4,15,0,0,0,0,0,0,0,0,0,0,0,1,1
"61",12,2,6,1,16,180,570,12,1,0,0,0,0,0,0,1,0,0
"62",183,2,6,2,16,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"63",477,2,6,3,16,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"64",0,2,6,4,16,0,0,0,0,0,0,0,0,0,0,0,1,1
"65",206,2,7,1,17,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"66",1697,2,7,2,17,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"67",12,2,7,3,17,180,570,12,1,0,0,0,0,0,0,1,0,0
"68",0,2,7,4,17,0,0,0,0,0,0,0,0,0,0,0,1,1
"69",1697,2,8,1,18,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"70",1275,2,8,2,18,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"71",1884,2,8,3,18,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"72",0,2,8,4,18,0,0,0,0,0,0,0,0,0,0,0,1,1
"73",1226,2,9,1,19,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"74",1884,2,9,2,19,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"75",428,2,9,3,19,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"76",0,2,9,4,19,0,0,0,0,0,0,0,0,0,0,0,1,1
"77",1275,2,10,1,20,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"78",12,2,10,2,20,180,570,12,1,0,0,0,0,0,0,1,0,0
"79",1697,2,10,3,20,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"80",0,2,10,4,20,0,0,0,0,0,0,0,0,0,0,0,1,1
"81",2622,3,1,1,21,405,1080,40,0,0,0,1,0,1,0,0,0,0
"82",1226,3,1,2,21,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"83",206,3,1,3,21,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"84",0,3,1,4,21,0,0,0,0,0,0,0,0,0,0,0,1,1
"85",477,3,2,1,22,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"86",206,3,2,2,22,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"87",1226,3,2,3,22,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"88",0,3,2,4,22,0,0,0,0,0,0,0,0,0,0,0,1,1
"89",1884,3,3,1,23,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"90",2622,3,3,2,23,405,1080,40,0,0,0,1,0,1,0,0,0,0
"91",183,3,3,3,23,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"92",0,3,3,4,23,0,0,0,0,0,0,0,0,0,0,0,1,1
"93",183,3,4,1,24,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"94",428,3,4,2,24,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"95",1275,3,4,3,24,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"96",0,3,4,4,24,0,0,0,0,0,0,0,0,0,0,0,1,1
"97",428,3,5,1,25,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"98",477,3,5,2,25,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"99",2622,3,5,3,25,405,1080,40,0,0,0,1,0,1,0,0,0,0
"100",0,3,5,4,25,0,0,0,0,0,0,0,0,0,0,0,1,1
"101",12,3,6,1,26,180,570,12,1,0,0,0,0,0,0,1,0,0
"102",183,3,6,2,26,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"103",477,3,6,3,26,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"104",0,3,6,4,26,0,0,0,0,0,0,0,0,0,0,0,1,1
"105",206,3,7,1,27,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"106",1697,3,7,2,27,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"107",12,3,7,3,27,180,570,12,1,0,0,0,0,0,0,1,0,0
"108",0,3,7,4,27,0,0,0,0,0,0,0,0,0,0,0,1,1
"109",1697,3,8,1,28,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"110",1275,3,8,2,28,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"111",1884,3,8,3,28,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"112",0,3,8,4,28,0,0,0,0,0,0,0,0,0,0,0,1,1
"113",1226,3,9,1,29,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"114",1884,3,9,2,29,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"115",428,3,9,3,29,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"116",0,3,9,4,29,0,0,0,0,0,0,0,0,0,0,0,1,1
"117",1275,3,10,1,30,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"118",12,3,10,2,30,180,570,12,1,0,0,0,0,0,0,1,0,0
"119",1697,3,10,3,30,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"120",0,3,10,4,30,0,0,0,0,0,0,0,0,0,0,0,1,1
"121",2622,4,1,1,31,405,1080,40,0,0,0,1,0,1,0,0,0,0
"122",1226,4,1,2,31,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"123",206,4,1,3,31,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"124",0,4,1,4,31,0,0,0,0,0,0,0,0,0,0,0,1,1
"125",477,4,2,1,32,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"126",206,4,2,2,32,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"127",1226,4,2,3,32,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"128",0,4,2,4,32,0,0,0,0,0,0,0,0,0,0,0,1,1
"129",1884,4,3,1,33,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"130",2622,4,3,2,33,405,1080,40,0,0,0,1,0,1,0,0,0,0
"131",183,4,3,3,33,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"132",0,4,3,4,33,0,0,0,0,0,0,0,0,0,0,0,1,1
"133",183,4,4,1,34,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"134",428,4,4,2,34,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"135",1275,4,4,3,34,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"136",0,4,4,4,34,0,0,0,0,0,0,0,0,0,0,0,1,1
"137",428,4,5,1,35,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"138",477,4,5,2,35,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"139",2622,4,5,3,35,405,1080,40,0,0,0,1,0,1,0,0,0,0
"140",0,4,5,4,35,0,0,0,0,0,0,0,0,0,0,0,1,1
"141",12,4,6,1,36,180,570,12,1,0,0,0,0,0,0,1,0,0
"142",183,4,6,2,36,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"143",477,4,6,3,36,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"144",0,4,6,4,36,0,0,0,0,0,0,0,0,0,0,0,1,1
"145",206,4,7,1,37,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"146",1697,4,7,2,37,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"147",12,4,7,3,37,180,570,12,1,0,0,0,0,0,0,1,0,0
"148",0,4,7,4,37,0,0,0,0,0,0,0,0,0,0,0,1,1
"149",1697,4,8,1,38,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"150",1275,4,8,2,38,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"151",1884,4,8,3,38,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"152",0,4,8,4,38,0,0,0,0,0,0,0,0,0,0,0,1,1
"153",1226,4,9,1,39,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"154",1884,4,9,2,39,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"155",428,4,9,3,39,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"156",0,4,9,4,39,0,0,0,0,0,0,0,0,0,0,0,1,1
"157",1275,4,10,1,40,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"158",12,4,10,2,40,180,570,12,1,0,0,0,0,0,0,1,0,0
"159",1697,4,10,3,40,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"160",0,4,10,4,40,0,0,0,0,0,0,0,0,0,0,0,1,1
"161",2622,5,1,1,41,405,1080,40,0,0,0,1,0,1,0,0,0,0
"162",1226,5,1,2,41,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"163",206,5,1,3,41,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"164",0,5,1,4,41,0,0,0,0,0,0,0,0,0,0,0,1,1
"165",477,5,2,1,42,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"166",206,5,2,2,42,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"167",1226,5,2,3,42,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"168",0,5,2,4,42,0,0,0,0,0,0,0,0,0,0,0,1,1
"169",1884,5,3,1,43,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"170",2622,5,3,2,43,405,1080,40,0,0,0,1,0,1,0,0,0,0
"171",183,5,3,3,43,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"172",0,5,3,4,43,0,0,0,0,0,0,0,0,0,0,0,1,1
"173",183,5,4,1,44,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"174",428,5,4,2,44,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"175",1275,5,4,3,44,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"176",0,5,4,4,44,0,0,0,0,0,0,0,0,0,0,0,1,1
"177",428,5,5,1,45,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"178",477,5,5,2,45,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"179",2622,5,5,3,45,405,1080,40,0,0,0,1,0,1,0,0,0,0
"180",0,5,5,4,45,0,0,0,0,0,0,0,0,0,0,0,1,1
"181",12,5,6,1,46,180,570,12,1,0,0,0,0,0,0,1,0,0
"182",183,5,6,2,46,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"183",477,5,6,3,46,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"184",0,5,6,4,46,0,0,0,0,0,0,0,0,0,0,0,1,1
"185",206,5,7,1,47,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"186",1697,5,7,2,47,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"187",12,5,7,3,47,180,570,12,1,0,0,0,0,0,0,1,0,0
"188",0,5,7,4,47,0,0,0,0,0,0,0,0,0,0,0,1,1
"189",1697,5,8,1,48,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"190",1275,5,8,2,48,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"191",1884,5,8,3,48,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"192",0,5,8,4,48,0,0,0,0,0,0,0,0,0,0,0,1,1
"193",1226,5,9,1,49,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"194",1884,5,9,2,49,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"195",428,5,9,3,49,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"196",0,5,9,4,49,0,0,0,0,0,0,0,0,0,0,0,1,1
"197",1275,5,10,1,50,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"198",12,5,10,2,50,180,570,12,1,0,0,0,0,0,0,1,0,0
"199",1697,5,10,3,50,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"200",0,5,10,4,50,0,0,0,0,0,0,0,0,0,0,0,1,1
"201",2622,6,1,1,51,405,1080,40,0,0,0,1,0,1,0,0,0,0
"202",1226,6,1,2,51,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"203",206,6,1,3,51,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"204",0,6,1,4,51,0,0,0,0,0,0,0,0,0,0,0,1,1
"205",477,6,2,1,52,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"206",206,6,2,2,52,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"207",1226,6,2,3,52,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"208",0,6,2,4,52,0,0,0,0,0,0,0,0,0,0,0,1,1
"209",1884,6,3,1,53,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"210",2622,6,3,2,53,405,1080,40,0,0,0,1,0,1,0,0,0,0
"211",183,6,3,3,53,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"212",0,6,3,4,53,0,0,0,0,0,0,0,0,0,0,0,1,1
"213",183,6,4,1,54,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"214",428,6,4,2,54,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"215",1275,6,4,3,54,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"216",0,6,4,4,54,0,0,0,0,0,0,0,0,0,0,0,1,1
"217",428,6,5,1,55,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"218",477,6,5,2,55,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"219",2622,6,5,3,55,405,1080,40,0,0,0,1,0,1,0,0,0,0
"220",0,6,5,4,55,0,0,0,0,0,0,0,0,0,0,0,1,1
"221",12,6,6,1,56,180,570,12,1,0,0,0,0,0,0,1,0,0
"222",183,6,6,2,56,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"223",477,6,6,3,56,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"224",0,6,6,4,56,0,0,0,0,0,0,0,0,0,0,0,1,1
"225",206,6,7,1,57,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"226",1697,6,7,2,57,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"227",12,6,7,3,57,180,570,12,1,0,0,0,0,0,0,1,0,0
"228",0,6,7,4,57,0,0,0,0,0,0,0,0,0,0,0,1,1
"229",1697,6,8,1,58,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"230",1275,6,8,2,58,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"231",1884,6,8,3,58,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"232",0,6,8,4,58,0,0,0,0,0,0,0,0,0,0,0,1,1
"233",1226,6,9,1,59,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"234",1884,6,9,2,59,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"235",428,6,9,3,59,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"236",0,6,9,4,59,0,0,0,0,0,0,0,0,0,0,0,1,1
"237",1275,6,10,1,60,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"238",12,6,10,2,60,180,570,12,1,0,0,0,0,0,0,1,0,0
"239",1697,6,10,3,60,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"240",0,6,10,4,60,0,0,0,0,0,0,0,0,0,0,0,1,1
"241",2622,7,1,1,61,405,1080,40,0,0,0,1,0,1,0,0,0,0
"242",1226,7,1,2,61,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"243",206,7,1,3,61,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"244",0,7,1,4,61,0,0,0,0,0,0,0,0,0,0,0,1,1
"245",477,7,2,1,62,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"246",206,7,2,2,62,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"247",1226,7,2,3,62,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"248",0,7,2,4,62,0,0,0,0,0,0,0,0,0,0,0,1,1
"249",1884,7,3,1,63,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"250",2622,7,3,2,63,405,1080,40,0,0,0,1,0,1,0,0,0,0
"251",183,7,3,3,63,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"252",0,7,3,4,63,0,0,0,0,0,0,0,0,0,0,0,1,1
"253",183,7,4,1,64,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"254",428,7,4,2,64,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"255",1275,7,4,3,64,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"256",0,7,4,4,64,0,0,0,0,0,0,0,0,0,0,0,1,1
"257",428,7,5,1,65,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"258",477,7,5,2,65,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"259",2622,7,5,3,65,405,1080,40,0,0,0,1,0,1,0,0,0,0
"260",0,7,5,4,65,0,0,0,0,0,0,0,0,0,0,0,1,1
"261",12,7,6,1,66,180,570,12,1,0,0,0,0,0,0,1,0,0
"262",183,7,6,2,66,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"263",477,7,6,3,66,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"264",0,7,6,4,66,0,0,0,0,0,0,0,0,0,0,0,1,1
"265",206,7,7,1,67,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"266",1697,7,7,2,67,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"267",12,7,7,3,67,180,570,12,1,0,0,0,0,0,0,1,0,0
"268",0,7,7,4,67,0,0,0,0,0,0,0,0,0,0,0,1,1
"269",1697,7,8,1,68,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"270",1275,7,8,2,68,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"271",1884,7,8,3,68,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"272",0,7,8,4,68,0,0,0,0,0,0,0,0,0,0,0,1,1
"273",1226,7,9,1,69,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"274",1884,7,9,2,69,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"275",428,7,9,3,69,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"276",0,7,9,4,69,0,0,0,0,0,0,0,0,0,0,0,1,1
"277",1275,7,10,1,70,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"278",12,7,10,2,70,180,570,12,1,0,0,0,0,0,0,1,0,0
"279",1697,7,10,3,70,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"280",0,7,10,4,70,0,0,0,0,0,0,0,0,0,0,0,1,1
"281",2622,8,1,1,71,405,1080,40,0,0,0,1,0,1,0,0,0,0
"282",1226,8,1,2,71,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"283",206,8,1,3,71,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"284",0,8,1,4,71,0,0,0,0,0,0,0,0,0,0,0,1,1
"285",477,8,2,1,72,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"286",206,8,2,2,72,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"287",1226,8,2,3,72,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"288",0,8,2,4,72,0,0,0,0,0,0,0,0,0,0,0,1,1
"289",1884,8,3,1,73,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"290",2622,8,3,2,73,405,1080,40,0,0,0,1,0,1,0,0,0,0
"291",183,8,3,3,73,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"292",0,8,3,4,73,0,0,0,0,0,0,0,0,0,0,0,1,1
"293",183,8,4,1,74,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"294",428,8,4,2,74,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"295",1275,8,4,3,74,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"296",0,8,4,4,74,0,0,0,0,0,0,0,0,0,0,0,1,1
"297",428,8,5,1,75,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"298",477,8,5,2,75,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"299",2622,8,5,3,75,405,1080,40,0,0,0,1,0,1,0,0,0,0
"300",0,8,5,4,75,0,0,0,0,0,0,0,0,0,0,0,1,1
"301",12,8,6,1,76,180,570,12,1,0,0,0,0,0,0,1,0,0
"302",183,8,6,2,76,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"303",477,8,6,3,76,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"304",0,8,6,4,76,0,0,0,0,0,0,0,0,0,0,0,1,1
"305",206,8,7,1,77,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"306",1697,8,7,2,77,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"307",12,8,7,3,77,180,570,12,1,0,0,0,0,0,0,1,0,0
"308",0,8,7,4,77,0,0,0,0,0,0,0,0,0,0,0,1,1
"309",1697,8,8,1,78,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"310",1275,8,8,2,78,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"311",1884,8,8,3,78,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"312",0,8,8,4,78,0,0,0,0,0,0,0,0,0,0,0,1,1
"313",1226,8,9,1,79,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"314",1884,8,9,2,79,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"315",428,8,9,3,79,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"316",0,8,9,4,79,0,0,0,0,0,0,0,0,0,0,0,1,1
"317",1275,8,10,1,80,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"318",12,8,10,2,80,180,570,12,1,0,0,0,0,0,0,1,0,0
"319",1697,8,10,3,80,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"320",0,8,10,4,80,0,0,0,0,0,0,0,0,0,0,0,1,1
"321",2622,9,1,1,81,405,1080,40,0,0,0,1,0,1,0,0,0,0
"322",1226,9,1,2,81,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"323",206,9,1,3,81,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"324",0,9,1,4,81,0,0,0,0,0,0,0,0,0,0,0,1,1
"325",477,9,2,1,82,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"326",206,9,2,2,82,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"327",1226,9,2,3,82,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"328",0,9,2,4,82,0,0,0,0,0,0,0,0,0,0,0,1,1
"329",1884,9,3,1,83,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"330",2622,9,3,2,83,405,1080,40,0,0,0,1,0,1,0,0,0,0
"331",183,9,3,3,83,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"332",0,9,3,4,83,0,0,0,0,0,0,0,0,0,0,0,1,1
"333",183,9,4,1,84,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"334",428,9,4,2,84,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"335",1275,9,4,3,84,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"336",0,9,4,4,84,0,0,0,0,0,0,0,0,0,0,0,1,1
"337",428,9,5,1,85,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"338",477,9,5,2,85,405,995,22.5,0,0,1,0,1,0,0,0,0,0
